#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtblIndex,f1Ctrl,f2Ctrl,vCtrl,enCtrl
f1Ctrl,1.669274376417236,0,101,,,,,,,,,1,,,,,,,,,31,231,0,160,1,4,31
f2Ctrl,1.669319727891159,0,101,,,,,,,,,1,,,,,,,,,31,231,0,160,6,4,31
vCtrl,1.669818594104311,0,101,,,,,,,,,1,,,,,,,,,31,231,0,160,6,15,31
enBit,1.670158730158733,0,101,,,,,,,,,0,,,,,,,,,31,231,0,160,6,15,0
wtbNew,1.6701814058956945,0,101,,,,,,,,,0,,,,,,,,,0,0,0,160,6,15,0
wtbLast,1.6701814058956945,0,101,,,,,,,,,0,,,,,,,,,1,64,0,160,6,15,0
wtbLast,1.670204081632656,0,101,,,,,,,,,0,,,,,,,,,2,127,0,160,6,15,0
wtbLast,1.670204081632656,0,101,,,,,,,,,0,,,,,,,,,3,64,0,160,6,15,0
wtbLast,1.6702267573696175,0,101,,,,,,,,,0,,,,,,,,,4,1,0,160,6,15,0
wtbLast,1.6702267573696175,0,101,,,,,,,,,0,,,,,,,,,5,192,0,160,6,15,0
wtbLast,1.670249433106579,0,101,,,,,,,,,0,,,,,,,,,6,129,0,160,6,15,0
wtbLast,1.670249433106579,0,101,,,,,,,,,0,,,,,,,,,7,192,0,160,6,15,0
wtbLast,1.6702721088435404,0,101,,,,,,,,,0,,,,,,,,,8,1,0,160,6,15,0
wtbLast,1.6702947845805018,0,101,,,,,,,,,0,,,,,,,,,9,64,0,160,6,15,0
wtbLast,1.6702947845805018,0,101,,,,,,,,,0,,,,,,,,,10,127,0,160,6,15,0
wtbLast,1.6703174603174633,0,101,,,,,,,,,0,,,,,,,,,11,64,0,160,6,15,0
wtbLast,1.6703174603174633,0,101,,,,,,,,,0,,,,,,,,,12,1,0,160,6,15,0
wtbLast,1.6703401360544248,0,101,,,,,,,,,0,,,,,,,,,13,192,0,160,6,15,0
wtbLast,1.6703401360544248,0,101,,,,,,,,,0,,,,,,,,,14,1,0,160,6,15,0
wtbLast,1.6703628117913862,0,101,,,,,,,,,0,,,,,,,,,15,64,0,160,6,15,0
wtbLast,1.6703628117913862,0,101,,,,,,,,,0,,,,,,,,,16,1,0,160,6,15,0
wtbLast,1.6703854875283477,0,101,,,,,,,,,0,,,,,,,,,17,224,0,160,6,15,0
wtbLast,1.6703854875283477,0,101,,,,,,,,,0,,,,,,,,,18,1,0,160,6,15,0
wtbLast,1.6704081632653092,0,101,,,,,,,,,0,,,,,,,,,19,32,0,160,6,15,0
wtbLast,1.6704081632653092,0,101,,,,,,,,,0,,,,,,,,,20,1,0,160,6,15,0
wtbLast,1.6704308390022706,0,101,,,,,,,,,0,,,,,,,,,21,240,0,160,6,15,0
wtbLast,1.670453514739232,0,101,,,,,,,,,0,,,,,,,,,22,1,0,160,6,15,0
wtbLast,1.670453514739232,0,101,,,,,,,,,0,,,,,,,,,23,16,0,160,6,15,0
wtbLast,1.6704761904761936,0,101,,,,,,,,,0,,,,,,,,,24,1,0,160,6,15,0
wtbLast,1.6704761904761936,0,101,,,,,,,,,0,,,,,,,,,25,255,0,160,6,15,0
wtbLast,1.670498866213155,0,101,,,,,,,,,0,,,,,,,,,26,255,0,160,6,15,0
wtbLast,1.670498866213155,0,101,,,,,,,,,0,,,,,,,,,27,255,0,160,6,15,0
wtbLast,1.6705215419501165,0,101,,,,,,,,,0,,,,,,,,,28,255,0,160,6,15,0
wtbLast,1.6705215419501165,0,101,,,,,,,,,0,,,,,,,,,29,64,0,160,6,15,0
wtbLast,1.670544217687078,0,101,,,,,,,,,0,,,,,,,,,30,64,0,160,6,15,0
wtbLast,1.670544217687078,0,101,,,,,,,,,0,,,,,,,,,31,64,1,160,6,15,0
enBit,1.6705668934240394,0,101,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
enBit,1.6706122448979623,0,101,,,,,,,,,0,,,,,,,,,31,64,1,160,6,15,0
enBit,1.6710204081632687,0,101,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
enBit,1.671088435374153,0,101,,,,,,,,,0,,,,,,,,,31,64,1,160,6,15,0
enBit,1.6714965986394594,0,101,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
enBit,1.6715419501133824,0,101,,,,,,,,,0,,,,,,,,,31,64,1,160,6,15,0
enBit,1.6719501133786887,0,101,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
vCtrl,1.6814512471655367,0,101,,,,,,,,,1,,,,,,,,,31,64,1,160,6,14,31
vCtrl,1.698140589569165,0,102,,,,,,,,,1,,,,,,,,,31,64,1,160,6,13,31
vCtrl,1.7148979591836775,0,103,,,,,,,,,1,,,,,,,,,31,64,1,160,6,12,31
vCtrl,1.7315646258503443,0,104,,,,,,,,,1,,,,,,,,,31,64,1,160,6,11,31
vCtrl,1.7482539682539724,0,105,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
f1Ctrl,1.765170068027215,0,106,,,,,,,,,1,,,,,,,,,31,64,1,80,6,10,31
f2Ctrl,1.7652380952380995,0,106,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
vCtrl,1.7655782312925212,0,106,,,,,,,,,1,,,,,,,,,31,64,1,80,3,15,31
vCtrl,1.7816553287981902,0,107,,,,,,,,,1,,,,,,,,,31,64,1,80,3,14,31
vCtrl,1.7990249433106622,0,108,,,,,,,,,1,,,,,,,,,31,64,1,80,3,13,31
vCtrl,1.815736961451252,0,109,,,,,,,,,1,,,,,,,,,31,64,1,80,3,12,31
vCtrl,1.8319954648526124,0,110,,,,,,,,,1,,,,,,,,,31,64,1,80,3,11,31
vCtrl,1.848707482993202,0,111,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
