#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,fCtrlA,fCtrlB,wNCtrl,vVCtrl,aVCtrl,envPCtrlL,envPCtrlM,envShape,ioParallel1,ioParallel2
fCA,2.94673469387758,0,177,,,,,,,,,1,,,,,,,,,,,,120,2,0,184,8,11,0,0,0,0
fCA,2.980226757369645,0,179,,,,,,,,,1,,,,,,,,,,,,32,2,0,184,8,11,0,0,0,0
fCB,2.9802721088435677,0,179,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,3.0135374149660175,0,181,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,3.013560090702979,0,181,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,3.046893424036313,0,183,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,3.080204081632686,0,185,,,,,,,,,1,,,,,,,,,,,,160,2,0,184,8,11,0,0,0,0
fCA,3.113582766439943,0,187,,,,,,,,,1,,,,,,,,,,,,120,2,0,184,8,11,0,0,0,0
fCA,3.147006802721123,0,189,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,3.180317460317496,0,191,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,3.2137188208617147,0,193,,,,,,,,,1,,,,,,,,,,,,160,2,0,184,8,11,0,0,0,0
fCA,3.2470294784580873,0,195,,,,,,,,,1,,,,,,,,,,,,120,2,0,184,8,11,0,0,0,0
fCA,3.280408163265345,0,197,,,,,,,,,1,,,,,,,,,,,,80,2,0,184,8,11,0,0,0,0
fCA,3.313900226757409,0,199,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,3.3471428571428974,0,201,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,3.3805442176871163,0,203,,,,,,,,,1,,,,,,,,,,,,160,2,0,184,8,11,0,0,0,0
fCA,3.413945578231335,0,205,,,,,,,,,1,,,,,,,,,,,,120,2,0,184,8,11,0,0,0,0
fCA,3.4473015873016304,0,207,,,,,,,,,1,,,,,,,,,,,,80,2,0,184,8,11,0,0,0,0
fCA,3.4814512471655767,0,209,,,,,,,,,1,,,,,,,,,,,,0,2,0,184,8,11,0,0,0,0
aVC,3.4815419501134226,0,209,,,,,,,,,1,,,,,,,,,,,,0,2,0,184,12,11,0,0,0,0
wNC,3.481859410430883,0,209,,,,,,,,,1,,,,,,,,,,,,0,2,31,184,12,11,0,0,0,0
mode,3.4820181405896133,0,209,,,,,,,,,3,,,,,,,,,,,,0,2,31,176,12,11,0,0,0,0
fCA,3.497709750566938,0,210,,,,,,,,,3,,,,,,,,,,,,80,2,31,176,12,11,0,0,0,0
fCA,3.514285714285759,0,211,,,,,,,,,3,,,,,,,,,,,,160,2,31,176,12,11,0,0,0,0
fCA,3.5309297052154647,0,212,,,,,,,,,3,,,,,,,,,,,,0,2,31,176,12,11,0,0,0,0
fCB,3.5309750566893876,0,212,,,,,,,,,3,,,,,,,,,,,,0,3,31,176,12,11,0,0,0,0
fCB,3.5477324263039005,0,213,,,,,,,,,3,,,,,,,,,,,,0,4,31,176,12,11,0,0,0,0
fCB,3.564739229024989,0,214,,,,,,,,,3,,,,,,,,,,,,0,5,31,176,12,11,0,0,0,0
fCB,3.5808843537415433,0,215,,,,,,,,,3,,,,,,,,,,,,0,6,31,176,12,11,0,0,0,0
fCB,3.597573696145172,0,216,,,,,,,,,3,,,,,,,,,,,,0,8,31,176,12,11,0,0,0,0
wNC,3.614444444444492,0,217,,,,,,,,,3,,,,,,,,,,,,0,8,29,176,12,11,0,0,0,0
mode,3.6146031746032223,0,217,,,,,,,,,2,,,,,,,,,,,,0,8,29,177,12,11,0,0,0,0
wNC,3.63081632653066,0,218,,,,,,,,,2,,,,,,,,,,,,0,8,26,177,12,11,0,0,0,0
wNC,3.64752834467125,0,219,,,,,,,,,2,,,,,,,,,,,,0,8,23,177,12,11,0,0,0,0
wNC,3.665147392290298,0,220,,,,,,,,,2,,,,,,,,,,,,0,8,19,177,12,11,0,0,0,0
wNC,3.6808616780045846,0,221,,,,,,,,,2,,,,,,,,,,,,0,8,16,177,12,11,0,0,0,0
wNC,3.6974829931973288,0,222,,,,,,,,,2,,,,,,,,,,,,0,8,12,177,12,11,0,0,0,0
wNC,3.714013605442227,0,223,,,,,,,,,2,,,,,,,,,,,,0,8,9,177,12,11,0,0,0,0
wNC,3.7310657596372385,0,224,,,,,,,,,2,,,,,,,,,,,,0,8,6,177,12,11,0,0,0,0
wNC,3.747369614512522,0,225,,,,,,,,,2,,,,,,,,,,,,0,8,3,177,12,11,0,0,0,0
wNC,3.764625850340187,0,226,,,,,,,,,2,,,,,,,,,,,,0,8,1,177,12,11,0,0,0,0
