#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,fCtrlA,fCtrlB,wNCtrl,vVCtrl,aVCtrl,envPCtrlL,envPCtrlM,envShape,ioParallel1,ioParallel2
fCB,0.26303854875283444,2,16,,,,,,,,,0,,,,,,,,,,,,160,2,0,191,4,0,3,9,0,0
aVC,0.2630839002267574,2,16,,,,,,,,,0,,,,,,,,,,,,160,2,0,191,13,0,3,9,0,0
ePL,0.26317460317460317,0,16,,,,,,,,,0,,,,,,,,,,,,0,0,0,191,0,66,3,9,0,0
ePL,0.26317460317460317,1,16,,,,,,,,,0,,,,,,,,,,,,176,1,0,191,18,66,3,9,0,0
ePL,0.26317460317460317,2,16,,,,,,,,,0,,,,,,,,,,,,160,2,0,191,13,66,3,9,0,0
evM,0.2632199546485261,0,16,,,,,,,,,0,,,,,,,,,,,,0,0,0,191,0,66,0,9,0,0
evM,0.2632199546485261,1,16,,,,,,,,,0,,,,,,,,,,,,176,1,0,191,18,66,0,9,0,0
evM,0.2632199546485261,2,16,,,,,,,,,0,,,,,,,,,,,,160,2,0,191,13,66,0,9,0,0
evS,0.263265306122449,0,16,,,,,,,,,0,,,,,,,,,,,,0,0,0,191,0,66,0,10,0,0
evS,0.263265306122449,1,16,,,,,,,,,0,,,,,,,,,,,,176,1,0,191,18,66,0,10,0,0
evS,0.263265306122449,2,16,,,,,,,,,0,,,,,,,,,,,,160,2,0,191,13,66,0,10,0,0
mode,0.26340136054421776,1,16,,,,,,,,,1,,,,,,,,,,,,176,1,0,185,18,66,0,10,0,0
mode,0.26340136054421776,2,16,,,,,,,,,1,,,,,,,,,,,,160,2,0,185,13,66,0,10,0,0
aVC,0.27902494331065764,1,17,,,,,,,,,1,,,,,,,,,,,,176,1,0,185,10,66,0,10,0,0
aVC,0.27916099773242636,2,17,,,,,,,,,1,,,,,,,,,,,,160,2,0,185,12,66,0,10,0,0
wNC,0.2792290249433107,0,17,,,,,,,,,0,,,,,,,,,,,,0,0,8,185,0,66,0,10,0,0
wNC,0.2792290249433107,1,17,,,,,,,,,1,,,,,,,,,,,,176,1,8,185,10,66,0,10,0,0
wNC,0.2792290249433107,2,17,,,,,,,,,1,,,,,,,,,,,,160,2,8,185,12,66,0,10,0,0
mode,0.27938775510204084,1,17,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,10,66,0,10,0,0
aVC,0.29541950113378684,1,18,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,9,66,0,10,0,0
aVC,0.29555555555555557,2,18,,,,,,,,,1,,,,,,,,,,,,160,2,8,171,11,66,0,10,0,0
aVC,0.31213151927437643,1,19,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,8,66,0,10,0,0
aVC,0.3122448979591837,2,19,,,,,,,,,1,,,,,,,,,,,,160,2,8,171,10,66,0,10,0,0
aVC,0.32877551020408163,1,20,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,7,66,0,10,0,0
aVC,0.34546485260770976,1,21,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,6,66,0,10,0,0
aVC,0.3621541950113379,1,22,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,5,66,0,10,0,0
aVC,0.378843537414966,1,23,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,4,66,0,10,0,0
aVC,0.39580498866213154,1,24,,,,,,,,,2,,,,,,,,,,,,176,1,8,171,9,66,0,10,0,0
wNC,0.3960090702947846,0,24,,,,,,,,,0,,,,,,,,,,,,0,0,0,171,0,66,0,10,0,0
wNC,0.3960090702947846,1,24,,,,,,,,,2,,,,,,,,,,,,176,1,0,171,9,66,0,10,0,0
wNC,0.3960090702947846,2,24,,,,,,,,,1,,,,,,,,,,,,160,2,0,171,10,66,0,10,0,0
aVC,0.4120181405895692,2,25,,,,,,,,,1,,,,,,,,,,,,160,2,0,171,9,66,0,10,0,0
mode,0.4120181405895692,1,25,,,,,,,,,0,,,,,,,,,,,,176,1,0,187,9,66,0,10,0,0
aVC,0.4284807256235828,2,26,,,,,,,,,1,,,,,,,,,,,,160,2,0,187,8,66,0,10,0,0
aVC,0.44517006802721093,2,27,,,,,,,,,1,,,,,,,,,,,,160,2,0,187,7,66,0,10,0,0
mode,0.46208616780045353,2,28,,,,,,,,,0,,,,,,,,,,,,160,2,0,191,7,66,0,10,0,0
aVC,0.47854875283446713,2,29,,,,,,,,,0,,,,,,,,,,,,160,2,0,191,6,66,0,10,0,0
aVC,0.49523809523809526,2,30,,,,,,,,,0,,,,,,,,,,,,160,2,0,191,5,66,0,10,0,0
aVC,0.5119274376417234,2,31,,,,,,,,,0,,,,,,,,,,,,160,2,0,191,4,66,0,10,0,0
fCA,0.5297052154195012,1,32,,,,,,,,,0,,,,,,,,,,,,208,1,0,191,9,66,0,10,0,0
fCB,0.5297505668934241,1,32,,,,,,,,,0,,,,,,,,,,,,208,3,0,191,9,66,0,10,0,0
aVC,0.5297959183673471,1,32,,,,,,,,,0,,,,,,,,,,,,208,3,0,191,18,66,0,10,0,0
fCA,0.52984126984127,2,32,,,,,,,,,0,,,,,,,,,,,,64,2,0,191,4,66,0,10,0,0
fCB,0.5298866213151929,2,32,,,,,,,,,0,,,,,,,,,,,,64,5,0,191,4,66,0,10,0,0
aVC,0.5299319727891159,2,32,,,,,,,,,0,,,,,,,,,,,,64,5,0,191,13,66,0,10,0,0
ePL,0.5300226757369617,0,32,,,,,,,,,0,,,,,,,,,,,,0,0,0,191,0,0,0,10,0,0
ePL,0.5300226757369617,1,32,,,,,,,,,0,,,,,,,,,,,,208,3,0,191,18,0,0,10,0,0
ePL,0.5300226757369617,2,32,,,,,,,,,0,,,,,,,,,,,,64,5,0,191,13,0,0,10,0,0
evM,0.5300680272108846,0,32,,,,,,,,,0,,,,,,,,,,,,0,0,0,191,0,0,3,10,0,0
evM,0.5300680272108846,1,32,,,,,,,,,0,,,,,,,,,,,,208,3,0,191,18,0,3,10,0,0
evM,0.5300680272108846,2,32,,,,,,,,,0,,,,,,,,,,,,64,5,0,191,13,0,3,10,0,0
evS,0.5301133786848076,0,32,,,,,,,,,0,,,,,,,,,,,,0,0,0,191,0,0,3,9,0,0
evS,0.5301133786848076,1,32,,,,,,,,,0,,,,,,,,,,,,208,3,0,191,18,0,3,9,0,0
evS,0.5301133786848076,2,32,,,,,,,,,0,,,,,,,,,,,,64,5,0,191,13,0,3,9,0,0
mode,0.5302494331065762,1,32,,,,,,,,,1,,,,,,,,,,,,208,3,0,185,18,0,3,9,0,0
mode,0.5302494331065762,2,32,,,,,,,,,1,,,,,,,,,,,,64,5,0,185,13,0,3,9,0,0
fCA,0.5453514739229028,1,33,,,,,,,,,1,,,,,,,,,,,,0,3,0,185,18,0,3,9,0,0
fCB,0.5453741496598643,1,33,,,,,,,,,1,,,,,,,,,,,,0,6,0,185,18,0,3,9,0,0
aVC,0.545510204081633,2,33,,,,,,,,,1,,,,,,,,,,,,64,5,0,185,12,0,3,9,0,0
fCB,0.5620634920634924,1,34,,,,,,,,,1,,,,,,,,,,,,0,7,0,185,18,0,3,9,0,0
aVC,0.5622222222222225,2,34,,,,,,,,,1,,,,,,,,,,,,64,5,0,185,11,0,3,9,0,0
fCB,0.5787755102040819,1,35,,,,,,,,,1,,,,,,,,,,,,0,8,0,185,18,0,3,9,0,0
aVC,0.5789115646258506,2,35,,,,,,,,,1,,,,,,,,,,,,64,5,0,185,10,0,3,9,0,0
mode,0.5954421768707485,1,36,,,,,,,,,0,,,,,,,,,,,,0,8,0,187,18,0,3,9,0,0
aVC,0.6119047619047622,2,37,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,9,0,3,9,0,0
aVC,0.6285941043083904,2,38,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,8,0,3,9,0,0
